S.No,Gene,Organism,NMSE,Decision
1,12,AB,0.070512,1
2,12,AB,0.06271,1
3,16,AF,0.040549,1
4,16,AF,0.062347,1
5,16,AF,0.052702,1
6,16,AF,0.076,0
7,16,AF,0.09,0
8,16,AF,0.065965,1
9,16,AF,0.052226,1
10,16,AF,0.089,0
11,16,AF,0.0761,0
12,16,AF,0.042809,1
13,16,AF,0.064111,1
14,16,AF,0.059784,1
15,16,AF,0.063175,1
16,16,AF,0.106,0
17,16,AF,0.077,0
18,110,AJ,0.094,0
19,16,AF,0.066521,1
20,16,AF,0.067773,1
21,111,AK,0.074711,1
22,111,AK,0.060055,1
23,111,AK,0.053963,1
24,220,BT,0.117,0
25,1413,NM,0.083,0
26,1413,NM,0.162,0
27,1413,NM,0.09,0
28,111,AK,0.053218,1
29,111,AK,0.062105,1
30,111,AK,0.081651,1
31,111,AK,0.05516,1
32,111,AK,0.054243,1
33,125,AY,0.057574,1
34,125,AY,0.054531,1
35,125,AY,0.055729,1
36,125,AY,0.059394,1
37,125,AY,0.062347,1
38,23,BC,0.068349,1
39,23,BC,0.069277,1
40,23,BC,0.063455,1
41,23,BC,0.068876,1
42,23,BC,0.05921,1
43,23,BC,0.06575,1
44,19,S,0.137,0
45,21,U,0.121,0
46,1413,NM,0.093,0
47,1413,NM,0.115,0
48,1413,NM,0.135,0
49,1413,NM,0.082,0
50,1413,NM,0.086,0
51,1413,NM,0.086,0
52,23,BC,0.057426,1
53,521,EU,0.063775,1
54,521,EU,0.077257,1
55,1413,NM,0.088,0
56,13,M,0.138,0
57,21,U,0.144,0
58,817,HQ,0.061339,1
59,1014,JN,0.062112,1
60,13,M,0.073376,1
61,1413,NM,0.054321,1
62,1413,NM,0.065492,1
63,1413,NM,0.065174,1
64,1413,NM,0.059326,1
65,1413,NM,0.058415,1
66,1413,NM,0.051508,1
67,1413,NM,0.051748,1
68,21,U,0.062744,1
69,16,AF,0.077,0
70,1413,NM,0.126,0
71,1413,NM,0.078,0
72,1413,NM,0.079,0
73,1413,NM,0.078,0
74,1413,NM,0.096,0
75,21,U,0.062154,1
76,21,U,0.07865,0
77,21,U,0.0531,1
78,21,U,0.065771,1
79,21,U,0.072657,1
80,21,U,0.07033,1
81,111,AK,0.058493,1
82,111,AK,0.061213,1
83,111,AK,0.089036,1
84,111,AK,0.065224,1
85,125,AY,0.061521,1
86,125,AY,0.066244,1
87,23,BC,0.077735,1
88,23,BC,0.042638,1
89,116,KF,0.058535,1
90,116,KF,0.058304,1
91,116,KF,0.060166,1
92,116,KF,0.05971,1
93,116,KF,0.05838,1
94,13,M,0.066987,1
95,1413,NM,0.053732,1
96,1413,NM,0.070011,1
97,1413,NM,0.056909,1
98,1413,NM,0.117,0
99,1413,NM,0.096,0
100,1413,NM,0.138,0
101,1413,NM,0.07,0
102,1413,NM,0.057636,1
103,1413,NM,0.047415,1
104,1413,NM,0.056785,1
105,1413,NM,0.062202,1
106,1413,NM,0.065501,1
107,1413,NM,0.053535,1
108,1413,NM,0.047517,1
109,1413,NM,0.082,0
110,1413,NM,0.1002,0
111,1413,NM,0.077,0
112,1413,NM,0.074053,1
113,1413,NM,0.069057,1
114,1413,NM,0.060937,1
115,1413,NM,0.053745,1
116,1413,NM,0.055727,1
117,1413,NM,0.055372,1
118,1413,NM,0.053719,1
119,21,U,0.055733,1
120,12,AB,0.066597,1
121,12,AB,0.067785,1
122,12,AB,0.057951,1
123,12,AB,0.058928,1
124,12,AB,0.056757,1
125,12,AB,0.095433,1
126,12,AB,0.094181,1
127,12,AB,0.096782,1
128,12,AB,0.093871,1
129,1413,NM,0.089,0
130,16,AF,0.15,0
131,16,AF,0.051125,1
132,16,AF,0.060005,1
133,16,AF,0.068195,1
134,16,AF,0.089,0
135,16,AF,0.089,0
136,16,AF,0.09,0
137,16,AF,0.09,0
138,16,AF,0.064267,1
139,16,AF,0.054181,1
140,16,AF,0.057095,1
141,16,AF,0.052749,1
142,16,AF,0.060671,1
143,16,AF,0.05566,1
144,16,AF,0.057749,1
145,16,AF,0.059836,1
146,16,AF,0.048255,1
147,16,AF,0.05504,1
148,16,AF,0.056799,1
149,16,AF,0.054531,1
150,16,AF,0.062842,1
151,16,AF,0.034915,1
152,16,AF,0.070584,1
153,125,AY,0.044285,1
154,16,AF,0.09,0
155,125,AY,0.037,1
156,125,AY,0.054623,1
157,125,AY,0.047173,1
158,125,AY,0.061465,1
159,125,AY,0.045822,1
160,23,BC,0.056931,1
161,1413,NM,0.119,0
162,1413,NM,0.079,0
163,23,BC,0.056025,1
164,412,DL,0.057809,1
165,413,DM,0.057688,1
166,1413,NM,0.101,0
167,1413,NM,0.107,0
168,21,U,0.059781,1
169,1413,NM,0.14,0
170,1413,NM,0.13,0
171,1413,NM,0.136,0
172,1413,NM,0.133,0
173,1413,NM,0.106,0
174,1413,NM,0.112,0
175,111,AK,0.059838,1
176,111,AK,0.072166,1
177,125,AY,0.070675,1
178,23,BC,0.069755,1
179,1413,NM,0.109,0
180,16,AF,0.158,0
181,16,AF,0.134,0
182,16,AF,0.143,0
183,1413,NM,0.058,1
184,1413,NM,0.057,1
185,1413,NM,0.058,1
186,1413,NM,0.052,1
187,23,BC,0.056,1
188,1413,NM,0.064,1
189,1413,NM,0.066,1
190,1413,NM,0.067,1
191,1413,NM,0.074,1
192,1413,NM,0.05,1
193,23,BC,0.055,1
194,16,AF,0.143,0
195,16,AF,0.137,0
196,16,AF,0.101,0
197,23,BC,0.069755,1
198,23,BC,0.069346,1
199,23,BC,0.069464,1
200,106,JF,0.072454,1
